#n_pop	landscape_idx	replicate	t	entropy	haplotype_diversity	nucleotide_diversity	strains	n_maxima	n_minima	maximum	minimum	gamma	mean	var	fitness_wildtype	mean_phenotypic_distance	tg0	n0	tg1	n1	tg2	n2	tg3	n3	tg4	n4	tg5	n5	tg6	n6	tg7	n7	tg8	n8	tg9	n9
1000	0	0	0	0.08312437893543853	0.025769999999999994	0.025878	4	3	3	2.317946490502639	0.8487935239340009	0.6440183356287625	1.1867965903705586	0.10830213510844522	0.9992597906600538	0.015438220716753014	2	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	1	0.09243424617090043	0.02968199999999999	0.029813999999999997	4	3	3	2.311631942831248	0.8464812414063371	0.6440183356287617	1.1835635202039936	0.10771286569554528	0.9965376080686607	0.0305011301285744	2	8	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	2	0.15362228065089387	0.05668399999999999	0.057050000000000003	4	3	3	2.2960030063305856	0.8407581843202085	0.6440183356287598	1.175561450861106	0.10626129665538198	0.9898000203461311	0.07211646505459576	2	21	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	3	0.2558857595262802	0.10166200000000016	0.10294199999999996	6	3	3	2.27624101474592	0.8335216710763393	0.6440183356287609	1.165443243073433	0.10443995962701447	0.9812806849538647	0.12898028358741107	16	2	2	38	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	4	0.3589273357903112	0.14867199999999997	0.15182600000000004	6	3	3	2.2575387270631766	0.8266732038089086	0.6440183356287611	1.1558676073350964	0.10273078925024404	0.9732181847402943	0.18185421531807802	16	3	2	54	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	5	0.46540476680141446	0.20195600000000002	0.21003000000000005	7	3	3	2.2340943420559873	0.8180882592261705	0.6440183356287611	1.1438640014262158	0.10060816402162698	0.9631113805709894	0.2479177867733496	16	7	2	75	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	6	0.592199451680075	0.2796280000000002	0.295326	8	3	3	2.1818551438521574	0.7989591320816949	0.6440183356287613	1.1171173519388269	0.09595818701150693	0.9405912186624681	0.37254573904963734	16	7	10	2	2	120	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	7	0.7620423094060972	0.39283399999999996	0.42157200000000006	8	3	3	2.105971119113141	0.7711716619945155	0.6440183356287632	1.0782644697895365	0.08939948736045711	0.9078778428421709	0.5408801165879645	16	6	2	195	10	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	8	0.803629289675114	0.4452240000000001	0.4785360000000002	8	3	3	2.0360600701095692	0.7455713964625892	0.6440183356287614	1.0424697717986107	0.08356249143965178	0.8777393989745623	0.6533838950780193	2	262	10	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	9	0.9253614899231868	0.5139699999999998	0.5669359999999999	9	3	3	1.9639727478069242	0.7191742157774734	0.6440183356287595	1.0055608143795072	0.07775012944110538	0.84666277020486	0.7578001524063509	10	5	18	3	2	335	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
