#a	c	mean_phenotypic_distance	std
0.0001	-0.999	0.8228435840845182	0.13095416852664002
0.0001	-0.9	0.6981100515746246	0.2546990652957457
0.0001	-0.8	0.511805711860591	0.3133817483453888
0.0001	-0.7	0.4328396920929369	0.32311579530289897
0.0001	-0.6	0.2872159005664542	0.3115644505931489
0.0001	-0.5	0.2639324677527352	0.28081600975581256
0.0001	-0.4	0.26848404724166275	0.27148589406474444
0.0001	-0.3	0.2197070855481365	0.25511053507243076
0.0001	-0.2	0.1708487111497354	0.24068782512149625
0.0001	-0.1	0.1330765225855325	0.22540567151296192
0.0001	-0.0	0.09775169662420943	0.15547526552569624
0.0001	0.1	0.08014501026712183	0.15671239678849838
0.0001	0.2	0.08388300925468935	0.15019505549223708
0.0001	0.3	0.06982011606842883	0.13322745915696113
0.0001	0.4	0.05427441085031563	0.09764701148281182
0.0001	0.5	0.05028469610709427	0.09830959103946241
0.0001	0.6	0.034231467376863764	0.05705641462502292
0.0001	0.7	0.02173879417974299	0.03138241103301703
0.0001	0.8	0.02059820101715352	0.02563800136380626
0.0001	0.9	0.018344943331879127	0.01608775366715678
0.0001	0.999	0.014083452442354443	0.007229377543231238
0.049999999999999996	-0.998	0.8586998693626378	0.1685244006712818
0.049999999999999996	-0.9	0.7396910066771033	0.2596405691280688
0.049999999999999996	-0.8	0.5142408055384152	0.3130421195034914
0.049999999999999996	-0.7	0.4390493261355493	0.3412773285437435
0.049999999999999996	-0.6	0.3269728564859097	0.3245637605626298
0.049999999999999996	-0.5	0.32467658357744783	0.31082402807828996
0.049999999999999996	-0.4	0.27190183042280364	0.30555141810701275
0.049999999999999996	-0.3	0.23647767093505292	0.2795767229253096
0.049999999999999996	-0.2	0.1653377380251672	0.23927147361463985
0.049999999999999996	-0.1	0.14974037992276637	0.22683167567269596
0.049999999999999996	-0.0	0.13425885244855987	0.21311391488603357
0.049999999999999996	0.098	0.08327708725229983	0.15019242715762454
0.049999999999999996	0.198	0.09912896457092554	0.19074470046865288
0.049999999999999996	0.298	0.0489790967201807	0.10189208793746252
0.049999999999999996	0.398	0.05166899840929846	0.10382098365143934
0.049999999999999996	0.498	0.05177341325909217	0.09950228811065773
0.049999999999999996	0.598	0.03371396408330276	0.06781917619987754
0.049999999999999996	0.698	0.03308179339132798	0.061401915281433475
0.049999999999999996	0.798	0.02136347258272235	0.031007688876245016
0.049999999999999996	0.898	0.01934588842189239	0.019052656951337663
0.049999999999999996	0.998	0.01462157151367809	0.007845281980001112
0.09999999999999999	-0.999	0.8824359881791015	0.1569628629978731
0.09999999999999999	-0.9	0.7245546386877287	0.31247861449988196
0.09999999999999999	-0.8	0.6051787032350165	0.39842954975332634
0.09999999999999999	-0.7	0.47440306128277554	0.36877056220237336
0.09999999999999999	-0.6	0.4635923556594096	0.41120489913852404
0.09999999999999999	-0.5	0.3809041165139553	0.36685970902530135
0.09999999999999999	-0.4	0.2781854993597187	0.31648279875497115
0.09999999999999999	-0.3	0.2855012116566606	0.3251774797197992
0.09999999999999999	-0.2	0.19188911418713975	0.28383842627326616
0.09999999999999999	-0.1	0.16901324542204238	0.263487759973902
0.09999999999999999	-0.0	0.14621022001653147	0.2262593225721985
0.09999999999999999	0.099	0.09042287664411895	0.1596406106925474
0.09999999999999999	0.199	0.06323057497136593	0.12705304529024256
0.09999999999999999	0.299	0.07468188245985999	0.1414000724298729
0.09999999999999999	0.399	0.05282142675658155	0.10365679553875098
0.09999999999999999	0.499	0.05118042946247967	0.09660164090480576
0.09999999999999999	0.599	0.03310580288161442	0.07075093165531886
0.09999999999999999	0.699	0.023997090788837116	0.04163523732792639
0.09999999999999999	0.799	0.022388482134286507	0.038818824419755996
0.09999999999999999	0.899	0.019558856962584886	0.024008237300490683
0.09999999999999999	0.999	0.015009645428844759	0.008162355269282296
0.15	-0.999	0.950549214416884	0.2001364266934129
0.15	-0.9	0.8182399325595127	0.33804549686168545
0.15	-0.8	0.5892833360922686	0.40733702519332426
0.15	-0.7	0.5508723158592993	0.40769335648323096
0.15	-0.6	0.46823702303297654	0.3945786937201499
0.15	-0.5	0.34230641456614336	0.355403179899606
0.15	-0.4	0.2673072422092782	0.3164904569376911
0.15	-0.3	0.2758662386046844	0.33059581351821427
0.15	-0.2	0.20113185985648235	0.2919115837432253
0.15	-0.1	0.16745567913769727	0.27350270842428615
0.15	-0.0	0.1655115518948344	0.2465324147094329
0.15	0.099	0.13873263613425316	0.26168681594970644
0.15	0.199	0.09414706816615506	0.183517312777475
0.15	0.299	0.08358236973143415	0.1570889706746565
0.15	0.399	0.0695998594214331	0.13517900252685114
0.15	0.499	0.06161368696327968	0.12666818119691456
0.15	0.599	0.05257400290709547	0.11583951999267357
0.15	0.699	0.03391112246805256	0.061149334857081114
