#a	c	entropy	std
0.0001	-0.999	0.9640087573655295	0.10453942750211866
0.0001	-0.9	0.9447722420810634	0.10695760549621836
0.0001	-0.8	0.8731407144584095	0.18304773247546494
0.0001	-0.7	0.7695139202328715	0.258022406796773
0.0001	-0.6	0.6473261748477174	0.306899563874662
0.0001	-0.5	0.5888272083357383	0.31466496754143386
0.0001	-0.4	0.5040314897772259	0.32635276184596784
0.0001	-0.3	0.4346822732053946	0.3132378408939044
0.0001	-0.2	0.3923715029657721	0.30189439638447746
0.0001	-0.1	0.34849523987323777	0.29697303174778444
0.0001	-0.0	0.30697944596627663	0.27642617502413985
0.0001	0.1	0.26052582708705574	0.2540728586515457
0.0001	0.2	0.24516219931914215	0.2376093830191167
0.0001	0.3	0.2183083271010427	0.21987562554496146
0.0001	0.4	0.2053902958359631	0.20614686845484853
0.0001	0.5	0.17905665680490518	0.1878640172776895
0.0001	0.6	0.16309316680292668	0.1689182662642047
0.0001	0.7	0.14398154016496423	0.13978868785819704
0.0001	0.8	0.12206983328063405	0.0949341161661994
0.0001	0.9	0.11270177110558433	0.08060387400448434
0.0001	0.999	0.11314338195442097	0.07975170854789833
0.049999999999999996	-0.998	0.9370803953487711	0.09667209747554419
0.049999999999999996	-0.9	0.9338065090854328	0.10289119486934695
0.049999999999999996	-0.8	0.8761252758064044	0.1674803950167181
0.049999999999999996	-0.7	0.8064073684608232	0.2176290466253406
0.049999999999999996	-0.6	0.6928032845714395	0.28751579706387426
0.049999999999999996	-0.5	0.62187406124176	0.3050176422346296
0.049999999999999996	-0.4	0.5337588729961619	0.3248260783215599
0.049999999999999996	-0.3	0.4864314292566673	0.3146838606954042
0.049999999999999996	-0.2	0.3996617760661006	0.3090511035553889
0.049999999999999996	-0.1	0.37433200511358183	0.30257410557917536
0.049999999999999996	-0.0	0.3283379265636941	0.28630319701886864
0.049999999999999996	0.098	0.27110121979573737	0.2514780059452689
0.049999999999999996	0.198	0.27189422979901195	0.2620322697127857
0.049999999999999996	0.298	0.2193838252039457	0.22292962260418045
0.049999999999999996	0.398	0.2051756197334629	0.2101071250029701
0.049999999999999996	0.498	0.1781172813866787	0.18770801188564556
0.049999999999999996	0.598	0.16234415909824287	0.1644590401319185
0.049999999999999996	0.698	0.14549008557396562	0.15137909996438986
0.049999999999999996	0.798	0.1298769387558749	0.11580964222625958
0.049999999999999996	0.898	0.12365049948214067	0.10396018925552432
0.049999999999999996	0.998	0.114066824993326	0.09589822689619945
0.09999999999999999	-0.999	0.9132819273217165	0.09242111802108674
0.09999999999999999	-0.9	0.8990677575723883	0.08795365484416046
0.09999999999999999	-0.8	0.8814414660501013	0.14738333126108355
0.09999999999999999	-0.7	0.8194540446480459	0.21396971227421316
0.09999999999999999	-0.6	0.7267264721622292	0.2661078109890375
0.09999999999999999	-0.5	0.6290646105264451	0.30464207516828257
