#a	c	entropy	std
0.0001	-0.999	0.2672185298949317	0.12962110326724116
0.0001	-0.9	0.25964479567317034	0.12310948776444668
0.0001	-0.8	0.2512370217373034	0.1297226244310919
0.0001	-0.7	0.22790600762812122	0.11704944422024416
0.0001	-0.6	0.21335638038273486	0.1132655364918043
0.0001	-0.5	0.20040604318310895	0.10776608295542789
0.0001	-0.4	0.19219028649547976	0.10941580960689787
0.0001	-0.3	0.1757658530178596	0.09572023596283998
0.0001	-0.2	0.17183798534595435	0.11082108727739817
0.0001	-0.1	0.16525628793791222	0.10506110039274874
0.0001	-0.0	0.15502243932424692	0.1014129247773209
0.0001	0.1	0.14854439726534754	0.09210514761119368
0.0001	0.2	0.1486734029585111	0.09596952956073497
0.0001	0.3	0.14096306667044978	0.09562130668952999
0.0001	0.4	0.13587817535413912	0.08996025030059063
0.0001	0.5	0.12926201588928837	0.09077036048866641
0.0001	0.6	0.12433542842900598	0.08100610668141718
0.0001	0.7	0.12145188062247073	0.08687566229349808
0.0001	0.8	0.1183497909704145	0.08425257109273616
0.0001	0.9	0.11311175536959045	0.0787992769876547
0.0001	0.999	0.11469128108691612	0.08310765083923655
0.049999999999999996	-0.998	0.22837864384537232	0.11615214984939602
0.049999999999999996	-0.9	0.2246114609209018	0.11579182194188414
0.049999999999999996	-0.8	0.22279444197956957	0.12605874421510066
0.049999999999999996	-0.7	0.21490252983865518	0.12365525326602593
0.049999999999999996	-0.6	0.19880202900803035	0.1099328374112361
0.049999999999999996	-0.5	0.1874372657292335	0.09836101700933426
0.049999999999999996	-0.4	0.18118640470425224	0.11250141775242052
0.049999999999999996	-0.3	0.18014777454429842	0.12325957699387054
0.049999999999999996	-0.2	0.16675071397700403	0.10112080482658577
0.049999999999999996	-0.1	0.1629359785764856	0.09824698878519121
0.049999999999999996	-0.0	0.15909466644161877	0.1008093078214092
0.049999999999999996	0.098	0.14844284942999433	0.09210213200262858
0.049999999999999996	0.198	0.14275325351461327	0.09106596571567306
0.049999999999999996	0.298	0.1386915095618941	0.09419557767168749
0.049999999999999996	0.398	0.13877102417783196	0.09625245583795362
0.049999999999999996	0.498	0.1319594615268726	0.10067869758384661
0.049999999999999996	0.598	0.12695105723720473	0.08745914522439246
0.049999999999999996	0.698	0.12406872208820008	0.09815940318054271
0.049999999999999996	0.798	0.11952344551758891	0.08061830628666308
0.049999999999999996	0.898	0.12068853814064068	0.09370740228999185
0.049999999999999996	0.998	0.11084622253321536	0.08460309353243675
0.09999999999999999	-0.999	0.19702546776207702	0.10442783729384986
0.09999999999999999	-0.9	0.19241894591700423	0.11564044393081656
0.09999999999999999	-0.8	0.21152122026651587	0.13430063169532988
0.09999999999999999	-0.7	0.1946348791642406	0.11465299186372409
0.09999999999999999	-0.6	0.1931655038892401	0.11369280970381164
0.09999999999999999	-0.5	0.1866034290773757	0.12277416695235814
0.09999999999999999	-0.4	0.18453141620121705	0.11239710147450414
0.09999999999999999	-0.3	0.1717706691940925	0.11322872924745374
0.09999999999999999	-0.2	0.16068431532149904	0.0896121176156678
0.09999999999999999	-0.1	0.1590719731648584	0.09433539763619658
0.09999999999999999	-0.0	0.15732728324615167	0.10716682000419885
0.09999999999999999	0.099	0.14783182906624648	0.09973500218440828
0.09999999999999999	0.199	0.14264012429669903	0.09207890746162768
0.09999999999999999	0.299	0.13882617346503126	0.09891245865114448
0.09999999999999999	0.399	0.13242201265976405	0.09373251709436195
0.09999999999999999	0.499	0.13117063855428143	0.08758934372737172
0.09999999999999999	0.599	0.12787292510937392	0.09723567952199572
0.09999999999999999	0.699	0.12739173934149348	0.09427966690622046
0.09999999999999999	0.799	0.12287304216487054	0.08712636456916462
0.09999999999999999	0.899	0.1142138214471097	0.09391406386046641
0.09999999999999999	0.999	0.1135155533595698	0.08478370024105712
0.15	-0.999	0.18174393693547575	0.10011850981656371
0.15	-0.9	0.18805028313823838	0.10865760989295811
0.15	-0.8	0.19934576584439398	0.13707236984177257
0.15	-0.7	0.1896375619614226	0.1203685590063725
0.15	-0.6	0.18448603894826127	0.11328657017001613
0.15	-0.5	0.17938997420898986	0.10706304639290866
0.15	-0.4	0.18675232812495593	0.1264306557878897
0.15	-0.3	0.16333842150213748	0.09159547085423653
0.15	-0.2	0.1737026760348284	0.11163947113967557
0.15	-0.1	0.163849816166538	0.1065959336549331
0.15	-0.0	0.14607382014625062	0.08714272361655694
0.15	0.099	0.14809773198579593	0.08783711039370266
0.15	0.199	0.15200906641439074	0.1203038356927922
0.15	0.299	0.14275722534424018	0.10441744208451297
0.15	0.399	0.13466882509586597	0.0927149083526047
0.15	0.499	0.12415603846699366	0.08071614801729929
0.15	0.599	0.1240406675469193	0.07353661704160108
0.15	0.699	0.1150029108563629	0.07443842261970136
0.15	0.799	0.1182514070422303	0.08637374694575739
0.15	0.899	0.12188877555738055	0.09811386055840589
0.15	0.999	0.11365927862000386	0.09444096500586598
0.19999999999999998	-0.999	0.17562594072280144	0.11033049632541422
0.19999999999999998	-0.9	0.16446422193088464	0.09862043302405005
0.19999999999999998	-0.8	0.16388466014043784	0.09460121986516146
0.19999999999999998	-0.7	0.1716410447899563	0.10790849587847165
0.19999999999999998	-0.6	0.18129524479584305	0.1216575561186386
0.19999999999999998	-0.5	0.17388479504158239	0.10437849583577581
0.19999999999999998	-0.4	0.18123572616731334	0.11577463282931354
0.19999999999999998	-0.3	0.16995622152679613	0.11331215166185649
0.19999999999999998	-0.2	0.16314326103766816	0.10757749397237792
0.19999999999999998	-0.1	0.15608633601021124	0.10999353429446439
0.19999999999999998	-0.0	0.15305589423632618	0.10410805106578469
0.19999999999999998	0.1	0.15091968446020831	0.10090194972495964
0.19999999999999998	0.199	0.13597595225343695	0.08716556369069695
0.19999999999999998	0.299	0.13439124721920911	0.0895174754776089
0.19999999999999998	0.4	0.13142820475781525	0.08688470818335818
0.19999999999999998	0.499	0.13129223356008843	0.09791134702222007
0.19999999999999998	0.6	0.13391305090614153	0.09904204905882005
0.19999999999999998	0.7	0.1342473124096117	0.10661413349503962
0.19999999999999998	0.799	0.12181856154614615	0.09142481162317836
0.19999999999999998	0.899	0.12012483971899113	0.08859031554384543
0.19999999999999998	0.999	0.11108897104983402	0.07855419872466538
0.25	-0.999	0.1651127807999981	0.10388869595116498
0.25	-0.9	0.18907883840019812	0.13155151274844226
0.25	-0.8	0.17653628162952426	0.10787315059030148
0.25	-0.7	0.16583607737316525	0.09212221043701813
0.25	-0.6	0.16997438277958493	0.10518157827050838
0.25	-0.5	0.17894606296001234	0.12038855759223363
0.25	-0.4	0.165473125026391	0.1024591796808506
0.25	-0.3	0.17757115362032383	0.12291198842042979
0.25	-0.2	0.17083552704219113	0.12436774078119701
0.25	-0.1	0.15291204030385455	0.10241476482364864
0.25	-0.0	0.15065999625608306	0.1041529168565303
0.25	0.1	0.15693715197863653	0.11695527394212969
0.25	0.2	0.14384624173132382	0.09335482313994528
0.25	0.3	0.1333763818145904	0.09059153078493488
0.25	0.4	0.13446312432928179	0.09833875300645108
0.25	0.5	0.12986225109073288	0.08335484150992528
0.25	0.6	0.1393318986313544	0.111937581261145
0.25	0.7	0.12176328957762982	0.08609631850838674
0.25	0.8	0.12318776888788914	0.09584273030631224
0.25	0.9	0.12694304341172874	0.1013638462939227
0.25	0.999	0.11017935369583104	0.07283637855502731
0.3	-0.999	0.16262899603423403	0.10529967958329023
0.3	-0.9	0.16356129524651503	0.09972803129081456
0.3	-0.8	0.16230063241674128	0.09538458574814028
0.3	-0.7	0.18471519697817054	0.1266834776517596
0.3	-0.6	0.16416094988182905	0.09770115625633835
0.3	-0.5	0.17486690810435088	0.11200275937563606
0.3	-0.4	0.17079284012923698	0.11593642405787191
0.3	-0.3	0.1652707251612287	0.11539347340657795
0.3	-0.2	0.1590879154384661	0.10123986646892373
0.3	-0.1	0.17022604645155046	0.12559371194516994
0.3	-0.0	0.16755430990138134	0.13478192368511585
0.3	0.1	0.15104311137366666	0.10721177975896676
0.3	0.2	0.1576188474469391	0.13799906961175812
0.3	0.3	0.13344628464441627	0.08902654209656004
0.3	0.4	0.13940710346011653	0.1000422590458819
0.3	0.5	0.14318743698928715	0.1017295039022832
0.3	0.6	0.12981511292714876	0.08977693684731079
0.3	0.7	0.1253146475732063	0.09242468442398322
0.3	0.8	0.13095747746581277	0.09869106265766245
0.3	0.9	0.11327339672376609	0.08016154814495868
0.3	0.999	0.10757761620926813	0.07706687113381461
0.35000000000000003	-0.999	0.17160180242812453	0.11787480248095152
0.35000000000000003	-0.9	0.15964653189771022	0.10510111588169772
0.35000000000000003	-0.8	0.17690349172697348	0.12301493232579372
0.35000000000000003	-0.7	0.16574737628515065	0.10514034159346526
0.35000000000000003	-0.6	0.16847635698870497	0.1102059443745192
0.35000000000000003	-0.5	0.16537204570816866	0.10276462955780716
0.35000000000000003	-0.4	0.16984453249359951	0.12842358553985248
0.35000000000000003	-0.3	0.160024994589178	0.09155957237769363
0.35000000000000003	-0.2	0.1580873069841091	0.10196665697491282
0.35000000000000003	-0.1	0.15693863154222926	0.09750900753336936
0.35000000000000003	-0.0	0.1578221731262651	0.10661349710642902
0.35000000000000003	0.1	0.14991626885425033	0.09702637664759971
0.35000000000000003	0.2	0.16008865700413458	0.12664145325925388
0.35000000000000003	0.3	0.14427350482618903	0.10399691241209486
0.35000000000000003	0.4	0.1395674711455831	0.10026260118334854
0.35000000000000003	0.5	0.14265410105461768	0.11397467955212565
0.35000000000000003	0.6	0.1287382598440401	0.08782882054399349
0.35000000000000003	0.7	0.11742153433589274	0.07756942432254187
0.35000000000000003	0.8	0.12178426961078269	0.08296454256934112
0.35000000000000003	0.9	0.11683038421470651	0.09512389709334111
0.35000000000000003	0.999	0.12067767081829658	0.08830304221607174
0.39999999999999997	-0.999	0.15751995269364463	0.10163229334576941
0.39999999999999997	-0.9	0.16719070029271105	0.10650136217278607
0.39999999999999997	-0.8	0.16317364244290408	0.10103856872353253
0.39999999999999997	-0.7	0.16823416912482064	0.10657104273544603
0.39999999999999997	-0.6	0.17658074484063033	0.11982063549384575
0.39999999999999997	-0.5	0.16861769533800466	0.1114696364982642
0.39999999999999997	-0.4	0.16228775370101514	0.1210061773748392
0.39999999999999997	-0.3	0.1632568416407627	0.11097326895900736
0.39999999999999997	-0.2	0.17135994587755082	0.12640848192400345
0.39999999999999997	-0.1	0.15433250475676769	0.0981356515043033
0.39999999999999997	-0.0	0.15996680780507108	0.10931700181254031
0.39999999999999997	0.1	0.14959747985276825	0.10744096502006278
0.39999999999999997	0.2	0.15536998335535857	0.10151880338024204
0.39999999999999997	0.3	0.1396869654402463	0.09687599302829578
0.39999999999999997	0.4	0.13872178543786207	0.09466361038485804
0.39999999999999997	0.5	0.13202007625630188	0.10440826551966059
0.39999999999999997	0.6	0.13217329676331388	0.11350503343865267
