#a	c	gamma	std
0.0001	-0.999	-0.00066794339416782	0.01583317994622243
0.0001	-0.9	0.000429731904440311	0.016147326978116168
0.0001	-0.8	-0.001794986424595065	0.016021433055653834
0.0001	-0.7	-0.0006476494253640154	0.014804342623662311
0.0001	-0.6	-2.8650649494048003e-05	0.013956193520765488
0.0001	-0.5	0.0006435657114263822	0.013798375316050491
0.0001	-0.4	-0.0023120145286964324	0.015528198656661918
0.0001	-0.3	0.000656202044559423	0.01600283941676716
0.0001	-0.2	-0.000779190175395297	0.0171898244881831
0.0001	-0.1	-0.0018160107602365472	0.015725728640226984
0.0001	-0.0	5.765602415181607e-05	0.013929212389416204
0.0001	0.1	-0.00011786967216168462	0.01566613821344294
0.0001	0.2	0.0005412099403218388	0.01530107477144251
0.0001	0.3	-0.0029388786049025966	0.013396428524674205
0.0001	0.4	0.0010366564945915502	0.014699330275694792
0.0001	0.5	0.0013880900965180735	0.01593560127283072
0.0001	0.6	0.0012218111481465987	0.014542524409036268
0.0001	0.7	0.004115429243324763	0.016567324211648696
0.0001	0.8	-0.0012533991673155322	0.015030115035548557
0.0001	0.9	0.0014383196146430318	0.01424468968726192
0.0001	0.999	0.003168085899299439	0.015159099966095367
0.049999999999999996	-0.998	0.009491247774262588	0.016299868316870927
0.049999999999999996	-0.9	0.023882859651236803	0.019364389741947496
0.049999999999999996	-0.8	0.026412811156734817	0.020805545350201782
0.049999999999999996	-0.7	0.030594636880864667	0.021657608224414406
0.049999999999999996	-0.6	0.03170002026244006	0.02460673078787051
0.049999999999999996	-0.5	0.02919051380314495	0.0223539279977878
0.049999999999999996	-0.4	0.030649876532488917	0.02091249255504121
0.049999999999999996	-0.3	0.02942239861630037	0.022474234871108306
0.049999999999999996	-0.2	0.03055391055565358	0.022838050538837293
0.049999999999999996	-0.1	0.0320178777689576	0.023169805470613265
0.049999999999999996	-0.0	0.033432873528953355	0.01999173733933481
0.049999999999999996	0.098	0.034985702433310624	0.022674158430226184
0.049999999999999996	0.198	0.03494873720869484	0.020909478871715775
0.049999999999999996	0.298	0.032605872931952225	0.020175570567294618
0.049999999999999996	0.398	0.03563181507126818	0.021120277994979307
0.049999999999999996	0.498	0.036544430949109814	0.024054598776381723
0.049999999999999996	0.598	0.03554141482938971	0.02093311946580277
0.049999999999999996	0.698	0.0353955707335161	0.019507239067859485
0.049999999999999996	0.798	0.03278873513494385	0.021378405159045665
0.049999999999999996	0.898	0.03222218030799098	0.01877347265443676
0.049999999999999996	0.998	0.03316850422443826	0.018788484208163807
0.09999999999999999	-0.999	0.027439056860364654	0.026448534697969275
0.09999999999999999	-0.9	0.05608241621577882	0.02729982945015165
0.09999999999999999	-0.8	0.05551171874448799	0.03024149258725369
0.09999999999999999	-0.7	0.0633888073604868	0.027887150076176325
0.09999999999999999	-0.6	0.057599134644498104	0.028665252051587677
0.09999999999999999	-0.5	0.06277475064583869	0.030264983303022665
0.09999999999999999	-0.4	0.06312112994403593	0.03199640218195104
0.09999999999999999	-0.3	0.06330397749542305	0.03153810749918271
0.09999999999999999	-0.2	0.0634934361366334	0.028434372682126997
0.09999999999999999	-0.1	0.06426042119383045	0.03141044366314769
0.09999999999999999	-0.0	0.05999466985433675	0.03488131949115404
0.09999999999999999	0.099	0.06481061439958537	0.030200209093272146
0.09999999999999999	0.199	0.06563604222002391	0.02888513218482025
0.09999999999999999	0.299	0.06125966199437583	0.033396392505597026
0.09999999999999999	0.399	0.06955388939306424	0.03158332304133486
0.09999999999999999	0.499	0.06133659933935235	0.03342040508217391
0.09999999999999999	0.599	0.06409744120423416	0.028223104626395136
0.09999999999999999	0.699	0.0633927684681537	0.0327380038157959
0.09999999999999999	0.799	0.0702761680967036	0.03188091998447185
0.09999999999999999	0.899	0.06883716803473741	0.032024234531749254
0.09999999999999999	0.999	0.06762488773955833	0.037631751156029965
0.15	-0.999	0.04979870999826102	0.033339394518696025
0.15	-0.9	0.0745590089236652	0.03668991704473481
0.15	-0.8	0.07718174180095712	0.030317533762760796
0.15	-0.7	0.07892763981079517	0.030044624546063114
0.15	-0.6	0.09067798040196498	0.03632263491197395
0.15	-0.5	0.09371059901370471	0.040116315593031485
0.15	-0.4	0.09437362018187746	0.03357594442313711
0.15	-0.3	0.08554899833761653	0.03519159564344968
0.15	-0.2	0.09452537371656916	0.040076199134229516
0.15	-0.1	0.09648849993383792	0.04599147372658611
0.15	-0.0	0.09471715082242207	0.04193503406313676
0.15	0.099	0.09158874357618488	0.03540490882813589
0.15	0.199	0.09505541530892317	0.03451958249430962
0.15	0.299	0.09483522587166965	0.040732154586949454
0.15	0.399	0.09441015711281835	0.040379810193468514
0.15	0.499	0.09428440137339861	0.03899588325789307
0.15	0.599	0.087436134893649	0.03869826113887653
0.15	0.699	0.09549168075569778	0.04081586469009415
0.15	0.799	0.09593121417820574	0.040977328055312415
0.15	0.899	0.10052629252457866	0.04439908742773594
0.15	0.999	0.09951564025220189	0.04637089374582287
0.19999999999999998	-0.999	0.07702021674128776	0.047398231440358284
0.19999999999999998	-0.9	0.10126118327975331	0.04190886189747968
0.19999999999999998	-0.8	0.11188354380453919	0.040596758083371355
0.19999999999999998	-0.7	0.10664850575050046	0.040986015874977244
0.19999999999999998	-0.6	0.12015320862462404	0.046492412199858994
0.19999999999999998	-0.5	0.12093515184767802	0.04653099685607713
0.19999999999999998	-0.4	0.11182121571650865	0.047713042500961506
0.19999999999999998	-0.3	0.11523049246356237	0.04559690300687037
0.19999999999999998	-0.2	0.13244738937748882	0.049140536859956986
0.19999999999999998	-0.1	0.11883075343478743	0.0451855182154376
0.19999999999999998	-0.0	0.12520643516300997	0.053977034066237724
0.19999999999999998	0.1	0.12857994844630535	0.05069423806515324
0.19999999999999998	0.199	0.11691606924160229	0.049833557908686286
0.19999999999999998	0.299	0.12720927492458306	0.048033066774717754
0.19999999999999998	0.4	0.12339417167531617	0.05562973534640898
0.19999999999999998	0.499	0.12584751488912044	0.04253465848043423
0.19999999999999998	0.6	0.13343993529074957	0.046539553149007235
0.19999999999999998	0.7	0.12022040612142743	0.044650994206741686
0.19999999999999998	0.799	0.12574909504168685	0.050069617166474845
0.19999999999999998	0.899	0.11864881520953617	0.04957093289316108
0.19999999999999998	0.999	0.11917165797421259	0.04776274032330661
0.25	-0.999	0.09150128379621122	0.051613340299563
0.25	-0.9	0.11880948782809933	0.0444554945797066
0.25	-0.8	0.12913980157436697	0.04850839383180854
0.25	-0.7	0.13297648799893236	0.045299077854767694
0.25	-0.6	0.13998170126345647	0.048851238770206876
0.25	-0.5	0.1469077139103985	0.059800919061533155
0.25	-0.4	0.13682720873813217	0.058097901953208
0.25	-0.3	0.1398935880511409	0.05161738074637124
0.25	-0.2	0.15058042017690587	0.05881927450595782
0.25	-0.1	0.14759116405243786	0.05639777771774867
0.25	-0.0	0.14866910162903874	0.06510729259894953
0.25	0.1	0.15111118991134728	0.05126929136267882
0.25	0.2	0.15391926406837259	0.056610454338784005
0.25	0.3	0.14914533199320995	0.061012027865774754
0.25	0.4	0.15181552011090285	0.05871936476634382
0.25	0.5	0.13067069730467762	0.05208759944997765
