#a	c	mean	std
0.0001	-0.999	0.7908094666129106	0.05482064801406024
0.0001	-0.9	0.7785591331883409	0.05052192861000753
0.0001	-0.8	0.7619159256401014	0.04717958386681164
0.0001	-0.7	0.740212903383113	0.0449027767767055
0.0001	-0.6	0.7211735042618943	0.04537437159145417
0.0001	-0.5	0.7041755052141552	0.04320960299587197
0.0001	-0.4	0.6879570166726074	0.048013226352140365
0.0001	-0.3	0.6680489905626195	0.04878700370372555
0.0001	-0.2	0.6557678038041238	0.04720438792171575
0.0001	-0.1	0.6403083964182297	0.05118546908164785
0.0001	-0.0	0.6264648655347708	0.05223340469024978
0.0001	0.1	0.6170429516462218	0.05379694385518888
0.0001	0.2	0.6091106836550568	0.05100311042379642
0.0001	0.3	0.597295425707774	0.05262262548228972
0.0001	0.4	0.5850114325477531	0.05345843307980576
0.0001	0.5	0.574569469773062	0.05558168113215943
0.0001	0.6	0.5635383633877583	0.05936296693082259
0.0001	0.7	0.5533350262563141	0.05585607819436147
0.0001	0.8	0.5477418257877644	0.06073176690938863
0.0001	0.9	0.5370872543891624	0.05948997989485225
0.0001	0.999	0.5322137967389216	0.05883960231100298
0.049999999999999996	-0.998	0.7474696904446716	0.06727255714768555
0.049999999999999996	-0.9	0.7311962239515299	0.06312097135655845
0.049999999999999996	-0.8	0.7117498945601046	0.06731016647928792
0.049999999999999996	-0.7	0.6974974359768399	0.058652268252458443
0.049999999999999996	-0.6	0.6799057315025087	0.057190495972927344
0.049999999999999996	-0.5	0.6642407443663464	0.05396537891639363
0.049999999999999996	-0.4	0.6471251986699799	0.05588149180056259
0.049999999999999996	-0.3	0.634825982416068	0.057710678821140414
0.049999999999999996	-0.2	0.620731678635905	0.05606969337773199
0.049999999999999996	-0.1	0.6075267037298255	0.05665708451237528
0.049999999999999996	-0.0	0.5919269688077279	0.0583595824505151
0.049999999999999996	0.098	0.5771230192890702	0.05705051205083389
0.049999999999999996	0.198	0.5660307513729982	0.05803512060081296
0.049999999999999996	0.298	0.5582656070174854	0.05884067712898075
0.049999999999999996	0.398	0.5444699701183484	0.0621333787745725
0.049999999999999996	0.498	0.5289262900226366	0.0644313710119439
0.049999999999999996	0.598	0.523707505160365	0.06217865550560254
0.049999999999999996	0.698	0.5162581274474631	0.0653302502833553
0.049999999999999996	0.798	0.5111483297677756	0.06217084297377274
0.049999999999999996	0.898	0.503084513389567	0.06141407505386265
0.049999999999999996	0.998	0.4920298187040154	0.06462589149166038
0.09999999999999999	-0.999	0.7012993959607241	0.08102298393479697
0.09999999999999999	-0.9	0.6735709691901653	0.08861764030717685
0.09999999999999999	-0.8	0.675642782760649	0.06871778284273343
0.09999999999999999	-0.7	0.6514013262538468	0.0674265169279448
0.09999999999999999	-0.6	0.6542919342676076	0.061183632363621836
0.09999999999999999	-0.5	0.6263382688345339	0.06909739326458077
0.09999999999999999	-0.4	0.6231590338378052	0.05711464255765465
0.09999999999999999	-0.3	0.5983496711108075	0.06811723770459345
0.09999999999999999	-0.2	0.5873777558824202	0.062484481842165894
0.09999999999999999	-0.1	0.5714383294671737	0.05864548648875629
0.09999999999999999	-0.0	0.5624188589068827	0.06694302925494248
0.09999999999999999	0.099	0.5487636498365734	0.06589434088160259
0.09999999999999999	0.199	0.5379598860859665	0.0610473388952297
0.09999999999999999	0.299	0.5294645784669534	0.06121684629381035
0.09999999999999999	0.399	0.5063317843249088	0.06797485387871895
0.09999999999999999	0.499	0.5088756935087271	0.06831335858706047
0.09999999999999999	0.599	0.496616476525938	0.06265436761497484
0.09999999999999999	0.699	0.49041337170979193	0.06868913287980886
0.09999999999999999	0.799	0.4743653239778338	0.06721165166869954
0.09999999999999999	0.899	0.4622522095880198	0.06589973307183791
0.09999999999999999	0.999	0.4615222033080414	0.06954899329608918
0.15	-0.999	0.6656477432475295	0.09050868034679299
0.15	-0.9	0.656164010678996	0.08316901820500273
0.15	-0.8	0.6428539967296342	0.08640244232072021
0.15	-0.7	0.6324738469307626	0.07909896603663251
0.15	-0.6	0.6173465482679781	0.07157173704741308
0.15	-0.5	0.597564310412151	0.0732287465863264
0.15	-0.4	0.5888808854678705	0.06341652827220395
0.15	-0.3	0.5789973672640784	0.0597588067126349
0.15	-0.2	0.561900503664235	0.06095579506037474
0.15	-0.1	0.5456493856971697	0.06266900452444893
0.15	-0.0	0.533965248053452	0.06642984585782932
0.15	0.099	0.5251527779857686	0.06220169422587004
0.15	0.199	0.5109168372347669	0.0633554837465533
0.15	0.299	0.503361316362466	0.06464082909590069
0.15	0.399	0.4868204610687096	0.06947446609616505
0.15	0.499	0.47724632753995205	0.06404443395474475
0.15	0.599	0.4806657494029166	0.06517253156156923
0.15	0.699	0.4611307053292547	0.06952996991720836
0.15	0.799	0.449237443738722	0.06956445675014727
0.15	0.899	0.4387436099598615	0.06762807969457249
0.15	0.999	0.4225214508859175	0.07592825066868127
0.19999999999999998	-0.999	0.6307577056469381	0.09985120684716445
0.19999999999999998	-0.9	0.6070138206234024	0.10193915421166946
0.19999999999999998	-0.8	0.5968955156859513	0.09036120710382857
0.19999999999999998	-0.7	0.5972348893544935	0.0781078394360931
0.19999999999999998	-0.6	0.5888295018448305	0.07523604780210016
0.19999999999999998	-0.5	0.5692558983344872	0.0804431854059323
0.19999999999999998	-0.4	0.5768116722287563	0.06661434834670736
0.19999999999999998	-0.3	0.5521456590656076	0.0686117152934429
0.19999999999999998	-0.2	0.5313847074559792	0.06774051556506588
0.19999999999999998	-0.1	0.5224523442240102	0.06767440516559292
0.19999999999999998	-0.0	0.5083292587505777	0.07305747879062821
0.19999999999999998	0.1	0.49819123982447844	0.06410226445083342
0.19999999999999998	0.199	0.4923995156456042	0.06707909325421503
0.19999999999999998	0.299	0.47597716729813067	0.07341095398637028
0.19999999999999998	0.4	0.4699185756063019	0.06902305106498093
0.19999999999999998	0.499	0.4516516063323145	0.06497048835205448
0.19999999999999998	0.6	0.4415541767404765	0.06678783925469077
0.19999999999999998	0.7	0.440791226162577	0.06434295747472625
0.19999999999999998	0.799	0.4284272905583168	0.07475321645203623
0.19999999999999998	0.899	0.4223953516273261	0.07052219938058811
0.19999999999999998	0.999	0.4113134987945659	0.07033875114552444
0.25	-0.999	0.5984777782648095	0.10964892288632426
0.25	-0.9	0.6064444841291078	0.09692186218799373
0.25	-0.8	0.5936155201430187	0.09379987011509228
0.25	-0.7	0.5693816458690262	0.08872353215879214
0.25	-0.6	0.5625797717964118	0.08328115416919755
0.25	-0.5	0.5579936572985024	0.08017466509708435
0.25	-0.4	0.5464316408245654	0.07634143366508858
0.25	-0.3	0.5378496605197186	0.07049642871601759
0.25	-0.2	0.5165830589054009	0.06983391653623953
0.25	-0.1	0.5022322216824623	0.06387407649382723
0.25	-0.0	0.49418033057987115	0.07353085706411393
0.25	0.1	0.4792896760934092	0.06870091138416279
0.25	0.2	0.4610823284226812	0.06607415469432822
0.25	0.3	0.4598198532705576	0.06485658797671313
0.25	0.4	0.44244091809508346	0.06983686771774555
0.25	0.5	0.455179004213207	0.06847390511621321
0.25	0.6	0.4347145063530805	0.06576934045661595
0.25	0.7	0.4168321926212207	0.07046782049870226
