#a	c	strains	std
0.0001	-0.999	14.89211	2.6715476572726966
0.0001	-0.9	14.45296	2.6205488176440883
0.0001	-0.8	13.569665	2.655698371517568
0.0001	-0.7	12.613162	2.6932281030867244
0.0001	-0.6	11.61856	2.7348968913065685
0.0001	-0.5	11.029108	2.657799049613405
0.0001	-0.4	10.333682	2.6142676139334644
0.0001	-0.3	9.74922	2.4684986297551026
0.0001	-0.2	9.349523	2.369153073431653
0.0001	-0.1	8.971607	2.338489748980531
0.0001	-0.0	8.633321	2.262041694530027
0.0001	0.1	8.293017	2.158642327360799
0.0001	0.2	8.090945	2.0975553405632708
0.0001	0.3	7.861819	2.010225622232277
0.0001	0.4	7.704895	1.9729622225452343
0.0001	0.5	7.443583	1.902617865476083
0.0001	0.6	7.291345	1.91172873224236
0.0001	0.7	7.10158	1.8298903934564947
0.0001	0.8	6.918784	1.7910631393732663
0.0001	0.9	6.774685	1.7729876745964892
0.0001	0.999	6.74797	1.7577650493797634
0.049999999999999996	-0.998	14.353145	2.674448870631487
0.049999999999999996	-0.9	14.117582	2.643434028120716
0.049999999999999996	-0.8	13.308858	2.6445441439757507
0.049999999999999996	-0.7	12.621903	2.6370439155644143
0.049999999999999996	-0.6	11.733677	2.7098532069050205
0.049999999999999996	-0.5	11.089207	2.631696038106556
0.049999999999999996	-0.4	10.355692	2.629506059212692
0.049999999999999996	-0.3	9.948501	2.494911436824762
0.049999999999999996	-0.2	9.365757	2.424139577957817
0.049999999999999996	-0.1	9.062469	2.3389215665753587
0.049999999999999996	-0.0	8.727743	2.279023984052885
0.049999999999999996	0.098	8.25811	2.1273588680659374
0.049999999999999996	0.198	8.125205	2.120118676598877
0.049999999999999996	0.298	7.808397	2.0460653647362057
0.049999999999999996	0.398	7.657301	1.9827638101278513
0.049999999999999996	0.498	7.365679	1.9380396345126711
0.049999999999999996	0.598	7.247596	1.846701825170034
0.049999999999999996	0.698	7.107275	1.8567397560885686
0.049999999999999996	0.798	6.903444	1.814685160558666
0.049999999999999996	0.898	6.836906	1.7591610050884205
0.049999999999999996	0.998	6.664843	1.7856136126633528
0.09999999999999999	-0.999	13.756331	2.696728330921399
0.09999999999999999	-0.9	13.319372	2.6526188120445253
0.09999999999999999	-0.8	13.223815	2.629778462432867
0.09999999999999999	-0.7	12.608993	2.6578836675682185
0.09999999999999999	-0.6	11.844492	2.6493588433882733
0.09999999999999999	-0.5	10.969854	2.6387330637290316
0.09999999999999999	-0.4	10.513317	2.6720983884581466
0.09999999999999999	-0.3	10.097498	2.5099120382264672
0.09999999999999999	-0.2	9.2453	2.426618181441232
0.09999999999999999	-0.1	9.062609	2.313531168048108
0.09999999999999999	-0.0	8.709492	2.2960314400514643
0.09999999999999999	0.099	8.344862	2.2036258886024367
0.09999999999999999	0.199	8.058347	2.078601680980784
0.09999999999999999	0.299	7.809806	2.0512845853563566
0.09999999999999999	0.399	7.575951	2.050676388637679
0.09999999999999999	0.499	7.44878	1.9296673897917422
0.09999999999999999	0.599	7.280341	1.8788558895779994
0.09999999999999999	0.699	7.120353	1.8500469124012104
0.09999999999999999	0.799	7.002896	1.8735173133087613
0.09999999999999999	0.899	6.740734	1.806616839592412
0.09999999999999999	0.999	6.625091	1.7841859278185512
0.15	-0.999	13.162713	2.7218634955094325
0.15	-0.9	13.214271	2.667192916248617
0.15	-0.8	12.907269	2.6316772004471223
0.15	-0.7	12.379522	2.631173497635272
0.15	-0.6	11.72507	2.6126244125256926
0.15	-0.5	11.055922	2.6140519434735143
0.15	-0.4	10.567082	2.6348770270922905
0.15	-0.3	9.944054	2.553758126132481
0.15	-0.2	9.490358	2.4646263623911318
0.15	-0.1	9.183807	2.4563334505596632
0.15	-0.0	8.718001	2.291400186451488
0.15	0.099	8.379329	2.2141728505920333
0.15	0.199	8.1463	2.2101934745496243
0.15	0.299	7.868519	2.0747197524301204
0.15	0.399	7.659406	2.024350222949876
0.15	0.499	7.408444	1.9621384632155432
0.15	0.599	7.26637	1.913678835455041
0.15	0.699	6.981519	1.8660463377882939
0.15	0.799	6.869367	1.8091985221403217
0.15	0.899	6.746818	1.8017985795711022
0.15	0.999	6.573066	1.810819328014956
0.19999999999999998	-0.999	12.755421	2.6893064803290003
0.19999999999999998	-0.9	12.700728	2.6472856434680305
0.19999999999999998	-0.8	12.574408	2.6318401121856514
0.19999999999999998	-0.7	12.255298	2.6013196070518236
0.19999999999999998	-0.6	11.889441	2.5857301470777005
0.19999999999999998	-0.5	11.372018	2.584438292350924
0.19999999999999998	-0.4	10.585415	2.6208123066030904
0.19999999999999998	-0.3	10.050631	2.5412296156961087
0.19999999999999998	-0.2	9.59996	2.4747505172848987
0.19999999999999998	-0.1	9.233299	2.421888610594576
0.19999999999999998	-0.0	8.693079	2.3404448246897696
0.19999999999999998	0.1	8.452866	2.270270807668704
0.19999999999999998	0.199	8.089542	2.179821777541948
0.19999999999999998	0.299	7.899387	2.183816565846588
0.19999999999999998	0.4	7.651975	2.074116173537752
0.19999999999999998	0.499	7.362823	1.9303150511719256
0.19999999999999998	0.6	7.313137	1.9090185602992358
0.19999999999999998	0.7	7.065884	1.8585415660409383
0.19999999999999998	0.799	6.913129	1.8548886408491378
0.19999999999999998	0.899	6.800125	1.79021400654906
0.19999999999999998	0.999	6.638057	1.7810444792101385
0.25	-0.999	12.589363	2.7062249680859556
0.25	-0.9	12.768226	2.696096452636778
0.25	-0.8	12.436038	2.570675683733692
0.25	-0.7	12.028386	2.5980521520673685
0.25	-0.6	11.723789	2.6231994519425323
0.25	-0.5	11.200094	2.6546260448812897
0.25	-0.4	10.670793	2.5589400734134293
0.25	-0.3	10.268205	2.6382100064477934
0.25	-0.2	9.65356	2.5194117713958426
0.25	-0.1	9.389671	2.4807566720456826
0.25	-0.0	8.95153	2.416412319564383
0.25	0.1	8.739179	2.4345281540535635
0.25	0.2	8.1415	2.2098073746871356
0.25	0.3	7.794999	2.081620984502367
0.25	0.4	7.566017	1.97404702388653
0.25	0.5	7.554438	2.0251747098653863
0.25	0.6	7.27353	1.965296720977938
