#a	c	min	max
0.0001	-0.999	3	31
0.0001	-0.9	3	30
0.0001	-0.8	3	27
0.0001	-0.7	2	28
0.0001	-0.6	1	26
0.0001	-0.5	2	26
0.0001	-0.4	1	27
0.0001	-0.3	1	26
0.0001	-0.2	1	23
0.0001	-0.1	1	23
0.0001	-0.0	1	22
0.0001	0.1	1	22
0.0001	0.2	1	23
0.0001	0.3	1	21
0.0001	0.4	1	21
0.0001	0.5	1	19
0.0001	0.6	1	21
0.0001	0.7	1	20
0.0001	0.8	1	19
0.0001	0.9	1	17
0.0001	0.999	1	17
0.049999999999999996	-0.998	3	32
0.049999999999999996	-0.9	3	29
0.049999999999999996	-0.8	3	27
0.049999999999999996	-0.7	3	26
0.049999999999999996	-0.6	1	26
0.049999999999999996	-0.5	2	29
0.049999999999999996	-0.4	1	25
0.049999999999999996	-0.3	1	25
0.049999999999999996	-0.2	1	25
0.049999999999999996	-0.1	1	26
0.049999999999999996	-0.0	1	22
0.049999999999999996	0.098	1	21
0.049999999999999996	0.198	1	25
0.049999999999999996	0.298	1	20
0.049999999999999996	0.398	1	22
0.049999999999999996	0.498	1	20
0.049999999999999996	0.598	1	20
0.049999999999999996	0.698	1	20
0.049999999999999996	0.798	1	17
0.049999999999999996	0.898	1	18
0.049999999999999996	0.998	1	19
0.09999999999999999	-0.999	3	30
0.09999999999999999	-0.9	2	30
0.09999999999999999	-0.8	3	28
0.09999999999999999	-0.7	2	28
0.09999999999999999	-0.6	2	26
0.09999999999999999	-0.5	2	26
0.09999999999999999	-0.4	2	26
0.09999999999999999	-0.3	1	26
0.09999999999999999	-0.2	1	24
0.09999999999999999	-0.1	1	22
0.09999999999999999	-0.0	1	22
0.09999999999999999	0.099	1	22
0.09999999999999999	0.199	1	21
0.09999999999999999	0.299	1	21
0.09999999999999999	0.399	1	21
0.09999999999999999	0.499	1	20
0.09999999999999999	0.599	1	21
0.09999999999999999	0.699	1	20
0.09999999999999999	0.799	1	19
0.09999999999999999	0.899	1	17
0.09999999999999999	0.999	1	18
0.15	-0.999	2	29
0.15	-0.9	3	29
0.15	-0.8	2	27
0.15	-0.7	2	28
0.15	-0.6	2	24
0.15	-0.5	1	25
0.15	-0.4	1	24
0.15	-0.3	1	26
0.15	-0.2	1	25
0.15	-0.1	1	25
0.15	-0.0	1	22
0.15	0.099	1	23
0.15	0.199	1	22
0.15	0.299	1	21
0.15	0.399	1	22
0.15	0.499	1	20
0.15	0.599	1	20
0.15	0.699	1	20
0.15	0.799	1	19
0.15	0.899	1	19
0.15	0.999	1	18
0.19999999999999998	-0.999	2	27
0.19999999999999998	-0.9	2	27
0.19999999999999998	-0.8	2	29
0.19999999999999998	-0.7	2	27
0.19999999999999998	-0.6	2	26
0.19999999999999998	-0.5	1	25
0.19999999999999998	-0.4	1	26
0.19999999999999998	-0.3	1	23
0.19999999999999998	-0.2	1	24
0.19999999999999998	-0.1	1	22
0.19999999999999998	-0.0	1	22
0.19999999999999998	0.1	1	22
0.19999999999999998	0.199	1	22
0.19999999999999998	0.299	1	23
0.19999999999999998	0.4	1	21
0.19999999999999998	0.499	1	22
0.19999999999999998	0.6	1	20
0.19999999999999998	0.7	1	19
0.19999999999999998	0.799	1	21
0.19999999999999998	0.899	1	19
0.19999999999999998	0.999	1	18
0.25	-0.999	2	26
0.25	-0.9	2	27
0.25	-0.8	2	27
0.25	-0.7	2	27
0.25	-0.6	2	26
0.25	-0.5	1	26
0.25	-0.4	1	24
0.25	-0.3	1	25
0.25	-0.2	1	24
0.25	-0.1	1	24
0.25	-0.0	1	23
0.25	0.1	1	24
0.25	0.2	1	22
0.25	0.3	1	20
0.25	0.4	1	20
0.25	0.5	1	21
0.25	0.6	1	20
0.25	0.7	1	20
0.25	0.8	1	18
0.25	0.9	1	19
0.25	0.999	1	18
0.3	-0.999	2	26
0.3	-0.9	2	28
0.3	-0.8	2	27
0.3	-0.7	2	26
0.3	-0.6	2	25
0.3	-0.5	2	24
0.3	-0.4	1	24
0.3	-0.3	1	24
0.3	-0.2	1	24
0.3	-0.1	1	24
0.3	-0.0	1	23
0.3	0.1	1	23
0.3	0.2	1	23
0.3	0.3	1	21
0.3	0.4	1	22
0.3	0.5	1	22
0.3	0.6	1	22
0.3	0.7	1	20
0.3	0.8	1	18
0.3	0.9	1	18
0.3	0.999	1	16
0.35000000000000003	-0.999	2	25
0.35000000000000003	-0.9	2	27
0.35000000000000003	-0.8	2	27
0.35000000000000003	-0.7	2	27
0.35000000000000003	-0.6	2	26
0.35000000000000003	-0.5	1	27
0.35000000000000003	-0.4	2	24
0.35000000000000003	-0.3	1	26
0.35000000000000003	-0.2	1	25
0.35000000000000003	-0.1	1	24
0.35000000000000003	-0.0	1	25
0.35000000000000003	0.1	1	23
0.35000000000000003	0.2	1	22
0.35000000000000003	0.3	1	24
0.35000000000000003	0.4	1	22
0.35000000000000003	0.5	1	22
0.35000000000000003	0.6	1	19
0.35000000000000003	0.7	1	19
0.35000000000000003	0.8	1	21
0.35000000000000003	0.9	1	17
0.35000000000000003	0.999	1	17
0.39999999999999997	-0.999	2	26
0.39999999999999997	-0.9	2	30
0.39999999999999997	-0.8	2	26
0.39999999999999997	-0.7	2	26
0.39999999999999997	-0.6	2	25
0.39999999999999997	-0.5	1	25
0.39999999999999997	-0.4	2	27
0.39999999999999997	-0.3	1	25
0.39999999999999997	-0.2	1	23
0.39999999999999997	-0.1	1	22
0.39999999999999997	-0.0	1	23
0.39999999999999997	0.1	1	24
0.39999999999999997	0.2	1	23
0.39999999999999997	0.3	1	21
0.39999999999999997	0.4	1	22
0.39999999999999997	0.5	1	22
0.39999999999999997	0.6	1	22
0.39999999999999997	0.7	1	20
0.39999999999999997	0.8	1	18
0.39999999999999997	0.9	1	18
0.39999999999999997	0.999	1	17
0.44999999999999996	-0.999	2	28
0.44999999999999996	-0.9	2	25
0.44999999999999996	-0.8	2	26
0.44999999999999996	-0.7	2	25
0.44999999999999996	-0.6	2	26
0.44999999999999996	-0.5	1	26
0.44999999999999996	-0.4	2	25
0.44999999999999996	-0.3	1	24
0.44999999999999996	-0.2	1	25
0.44999999999999996	-0.1	1	25
0.44999999999999996	-0.0	1	26
0.44999999999999996	0.1	1	22
0.44999999999999996	0.2	1	23
0.44999999999999996	0.3	1	21
0.44999999999999996	0.4	1	20
0.44999999999999996	0.5	1	20
0.44999999999999996	0.6	1	20
0.44999999999999996	0.7	1	18
0.44999999999999996	0.8	1	19
0.44999999999999996	0.9	1	18
0.44999999999999996	0.999	1	16
0.5	-0.999	2	27
0.5	-0.9	2	27
0.5	-0.8	2	29
0.5	-0.7	2	26
0.5	-0.6	2	28
0.5	-0.5	2	25
0.5	-0.4	1	26
0.5	-0.3	1	24
