#a	c	strains	std
0.0001	-0.999	5.980148	1.1321577539777214
0.0001	-0.9	5.79272	1.1127381721635212
0.0001	-0.8	5.621973	1.1055920629190858
0.0001	-0.7	5.522142	1.048906493468847
0.0001	-0.6	5.427402	1.1964066874564572
0.0001	-0.5	5.27735	1.1097631319712273
0.0001	-0.4	5.20331	1.1194857288740319
0.0001	-0.3	5.115441	1.103196080740969
0.0001	-0.2	4.909682	1.0996998991659883
0.0001	-0.1	4.914637	1.1506621929370444
0.0001	-0.0	4.915343	1.1396032164891847
0.0001	0.1	4.655518	1.1400699327018595
0.0001	0.2	4.689338	1.1415079609055505
0.0001	0.3	4.703605	1.1850065013389692
0.0001	0.4	4.637346	1.1416406525771592
0.0001	0.5	4.553192	1.1680059825883156
0.0001	0.6	4.403026	1.1859061723887365
0.0001	0.7	4.3409	1.197554434729762
0.0001	0.8	4.428387	1.1971060985999782
0.0001	0.9	4.37716	1.1768303698202942
0.0001	0.999	4.235674	1.1887199749295836
0.049999999999999996	-0.998	5.899763	1.0971666908939341
0.049999999999999996	-0.9	5.762787	1.184731360359004
0.049999999999999996	-0.8	5.682802	1.117015074438544
0.049999999999999996	-0.7	5.469265	1.0903653280743884
0.049999999999999996	-0.6	5.400028	1.1605364906194773
0.049999999999999996	-0.5	5.291088	1.1162432630312216
0.049999999999999996	-0.4	5.097221	1.1207454364070062
0.049999999999999996	-0.3	5.05967	1.1754653856271886
0.049999999999999996	-0.2	4.925278	1.1368851811995855
0.049999999999999996	-0.1	4.863286	1.1416639547600487
0.049999999999999996	-0.0	4.80604	1.1293877960693002
0.049999999999999996	0.098	4.689324	1.1939153439258932
0.049999999999999996	0.198	4.6836	1.1314788200533366
0.049999999999999996	0.298	4.570685	1.1758218459098848
0.049999999999999996	0.398	4.517317	1.1921289958257844
0.049999999999999996	0.498	4.564002	1.1824115789717518
0.049999999999999996	0.598	4.446245	1.1706851713781234
0.049999999999999996	0.698	4.409596	1.1847339449795953
0.049999999999999996	0.798	4.367362	1.171549629117762
0.049999999999999996	0.898	4.358951	1.2352039124490513
0.049999999999999996	0.998	4.198216	1.21608959218439
0.09999999999999999	-0.999	5.839713	1.2028302142952814
0.09999999999999999	-0.9	5.70656	1.1245293375336858
0.09999999999999999	-0.8	5.543955	1.203478045648387
0.09999999999999999	-0.7	5.427611	1.1124329508718747
0.09999999999999999	-0.6	5.369829	1.266766401291178
0.09999999999999999	-0.5	5.249254	1.1653977010579781
0.09999999999999999	-0.4	5.092144	1.1284151525883352
0.09999999999999999	-0.3	4.987318	1.0930994290304277
0.09999999999999999	-0.2	4.998826	1.137857599370561
0.09999999999999999	-0.1	4.81189	1.1041756414222361
0.09999999999999999	-0.0	4.858685	1.1975109622936628
0.09999999999999999	0.099	4.7333	1.1164588467460774
0.09999999999999999	0.199	4.52703	1.171501921267982
0.09999999999999999	0.299	4.569491	1.1575570572797846
0.09999999999999999	0.399	4.607973	1.184654901094145
0.09999999999999999	0.499	4.519355	1.1538928526744956
0.09999999999999999	0.599	4.428482	1.1754482367796477
0.09999999999999999	0.699	4.251476	1.1748928469448359
0.09999999999999999	0.799	4.338196	1.1765945988087303
0.09999999999999999	0.899	4.253582	1.2017793531077128
0.09999999999999999	0.999	4.200698	1.1772390150986323
0.15	-0.999	5.670042	1.1402083223318693
0.15	-0.9	5.567548	1.1959885861007213
0.15	-0.8	5.54043	1.1468446844941684
0.15	-0.7	5.388102	1.142681995715
0.15	-0.6	5.230226	1.0885197167758196
